ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
49.0,1749.0,449.0,1658.0,4836.0,316.0,101.0,102.0,7.0,6733.0,1316.0,218.0,366.0,145.0,633.0,407.0,166.0,1090.0,1476.0,171.0,387.0,11.0,242.0,138.0,427.0,766.0,88.0,1008.0,96.0,69.0,12.0,180.0,77.0,760.0,517.0,449.0,352.0,89.0,626.0,182.0,47.0,943.0,47.0,1402.0,6571.0,128.0,333.0,3.0,192.0,673.0,96.0,121.0
48.0,1795.0,412.0,1473.0,4273.0,256.0,51.0,104.0,30.0,5817.0,1548.0,268.0,345.0,124.0,613.0,397.0,167.0,1566.0,1342.0,142.0,359.0,6.0,389.0,205.0,515.0,791.0,94.0,782.0,87.0,130.0,10.0,177.0,59.0,577.0,493.0,573.0,465.0,87.0,459.0,265.0,58.0,645.0,93.0,1331.0,5840.0,126.0,421.0,5.0,190.0,485.0,74.0,50.0
63.0,1911.0,425.0,1292.0,3498.0,147.0,77.0,89.0,47.0,5040.0,2427.0,918.0,329.0,147.0,737.0,527.0,186.0,1307.0,1121.0,132.0,352.0,10.0,378.0,228.0,654.0,611.0,95.0,1150.0,71.0,146.0,179.0,260.0,102.0,578.0,848.0,634.0,549.0,109.0,411.0,263.0,42.0,631.0,95.0,1216.0,5549.0,89.0,413.0,6.0,165.0,447.0,93.0,37.0
56.0,1707.0,342.0,700.0,3100.0,137.0,62.0,69.0,58.0,4269.0,1458.0,2137.0,359.0,107.0,779.0,533.0,214.0,1776.0,883.0,172.0,316.0,9.0,358.0,263.0,679.0,595.0,104.0,2055.0,92.0,163.0,209.0,302.0,155.0,483.0,485.0,647.0,590.0,60.0,460.0,259.0,27.0,613.0,117.0,1124.0,5080.0,126.0,396.0,6.0,143.0,430.0,114.0,37.0
61.0,1222.0,328.0,1008.0,2888.0,137.0,78.0,81.0,66.0,3526.0,1548.0,1996.0,378.0,104.0,804.0,444.0,264.0,1495.0,820.0,169.0,304.0,6.0,330.0,265.0,632.0,554.0,125.0,1762.0,85.0,166.0,153.0,290.0,47.0,478.0,480.0,670.0,511.0,55.0,382.0,319.0,24.0,487.0,115.0,1191.0,4590.0,139.0,465.0,5.0,192.0,404.0,96.0,42.0
56.0,1069.0,327.0,537.0,2572.0,118.0,62.0,89.0,51.0,2922.0,1266.0,1781.0,357.0,95.0,732.0,923.0,254.0,2101.0,809.0,178.0,295.0,7.0,321.0,235.0,642.0,481.0,132.0,941.0,93.0,175.0,7.0,244.0,42.0,398.0,574.0,592.0,503.0,54.0,356.0,269.0,27.0,493.0,133.0,1082.0,3998.0,116.0,428.0,7.0,156.0,503.0,90.0,48.0
67.0,888.0,369.0,657.0,2253.0,145.0,92.0,56.0,33.0,2441.0,1222.0,1522.0,372.0,84.0,778.0,423.0,239.0,1159.0,770.0,195.0,306.0,9.0,285.0,248.0,743.0,447.0,122.0,901.0,142.0,224.0,7.0,245.0,74.0,337.0,580.0,591.0,614.0,80.0,315.0,274.0,22.0,443.0,211.0,1089.0,4104.0,156.0,429.0,6.0,202.0,592.0,119.0,38.0
46.0,908.0,456.0,788.0,2191.0,207.0,69.0,81.0,49.0,2099.0,1104.0,1204.0,489.0,138.0,765.0,471.0,250.0,1059.0,689.0,250.0,310.0,4.0,295.0,350.0,810.0,395.0,215.0,888.0,175.0,244.0,19.0,291.0,107.0,399.0,659.0,586.0,742.0,104.0,372.0,218.0,40.0,469.0,251.0,1087.0,4032.0,175.0,352.0,1.0,168.0,683.0,116.0,58.0
33.0,930.0,448.0,332.0,2176.0,204.0,113.0,68.0,63.0,1984.0,3653.0,1037.0,515.0,150.0,817.0,635.0,294.0,908.0,648.0,283.0,348.0,8.0,450.0,385.0,921.0,384.0,316.0,873.0,241.0,237.0,19.0,360.0,115.0,339.0,853.0,744.0,783.0,91.0,472.0,341.0,38.0,376.0,286.0,1265.0,4192.0,193.0,407.0,1.0,142.0,1029.0,116.0,79.0
38.0,920.0,559.0,456.0,2223.0,281.0,132.0,78.0,90.0,2156.0,3752.0,838.0,596.0,152.0,1094.0,738.0,458.0,1939.0,852.0,295.0,387.0,5.0,549.0,448.0,1045.0,555.0,339.0,1111.0,276.0,304.0,17.0,548.0,132.0,405.0,843.0,1088.0,890.0,128.0,615.0,330.0,52.0,502.0,340.0,1388.0,4935.0,249.0,480.0,5.0,175.0,1275.0,109.0,76.0
